id,profile_text
0011903f9984,title_length_band=band_2 title_word_band=band_2 title_question_band=zero body_length_band=band_3 body_word_band=band_3 body_structure=headed body_question_band=zero body_reference_band=band_2 body_mention_band=zero backport_term=present release_term=present test_term=present bug_term=present docs_term=absent security_term=absent title_length=52 title_word_count=11 title_question_count=0 title_digit_count=4 title_exclamation_count=0 title_colon_count=0 title_unique_word_count=11 body_length=1272 body_word_count=198 body_question_count=0 body_link_count=0 body_mention_count=0 body_reference_count=2 body_digit_count=35 body_exclamation_count=0 body_colon_count=3 body_line_count=24 body_unique_word_count=122 body_code_block_count=0 body_checklist_item_count=0 body_heading_count=1 body_unique_character_count=52 base_channel=release_or_stable file_count=2 additions=11 deletions=2 changed_lines=13 test_file_count=0 docs_file_count=0 config_file_count=1 code_file_count=1 other_file_count=0 max_file_changes=9 max_file_additions=9 max_file_deletions=2 change_scope=small
00a7fb2e10c2,title_length_band=band_2 title_word_band=band_2 title_question_band=zero body_length_band=band_1 body_word_band=band_1 body_structure=headed body_question_band=zero body_reference_band=band_1 body_mention_band=zero backport_term=present release_term=present test_term=absent bug_term=present docs_term=absent security_term=absent title_length=90 title_word_count=12 title_question_count=0 title_digit_count=4 title_exclamation_count=0 title_colon_count=2 title_unique_word_count=12 body_length=53 body_word_count=9 body_question_count=0 body_link_count=0 body_mention_count=0 body_reference_count=1 body_digit_count=9 body_exclamation_count=0 body_colon_count=0 body_line_count=2 body_unique_word_count=9 body_code_block_count=0 body_checklist_item_count=0 body_heading_count=1 body_unique_character_count=26 base_channel=release_or_stable file_count=1 additions=5 deletions=1 changed_lines=6 test_file_count=0 docs_file_count=0 config_file_count=0 code_file_count=1 other_file_count=0 max_file_changes=6 max_file_additions=5 max_file_deletions=1 change_scope=tiny
00bdcb248d50,title_length_band=band_2 title_word_band=band_2 title_question_band=zero body_length_band=band_3 body_word_band=band_3 body_structure=plain body_question_band=zero body_reference_band=band_2 body_mention_band=zero backport_term=present release_term=present test_term=absent bug_term=absent docs_term=absent security_term=absent title_length=83 title_word_count=11 title_question_count=0 title_digit_count=3 title_exclamation_count=0 title_colon_count=1 title_unique_word_count=11 body_length=1044 body_word_count=175 body_question_count=0 body_link_count=0 body_mention_count=0 body_reference_count=4 body_digit_count=39 body_exclamation_count=0 body_colon_count=5 body_line_count=25 body_unique_word_count=104 body_code_block_count=0 body_checklist_item_count=0 body_heading_count=0 body_unique_character_count=48 base_channel=release_or_stable file_count=1 additions=9 deletions=0 changed_lines=9 test_file_count=0 docs_file_count=0 config_file_count=0 code_file_count=1 other_file_count=0 max_file_changes=9 max_file_additions=9 max_file_deletions=0 change_scope=tiny
00ff060fe128,title_length_band=band_2 title_word_band=band_2 title_question_band=zero body_length_band=band_3 body_word_band=band_2 body_structure=mixed body_question_band=zero body_reference_band=band_3 body_mention_band=zero backport_term=absent release_term=absent test_term=absent bug_term=absent docs_term=absent security_term=absent title_length=84 title_word_count=14 title_question_count=0 title_digit_count=8 title_exclamation_count=0 title_colon_count=1 title_unique_word_count=13 body_length=956 body_word_count=103 body_question_count=0 body_link_count=1 body_mention_count=0 body_reference_count=5 body_digit_count=22 body_exclamation_count=2 body_colon_count=7 body_line_count=27 body_unique_word_count=73 body_code_block_count=0 body_checklist_item_count=1 body_heading_count=1 body_unique_character_count=57 base_channel=other_branch file_count=1 additions=1 deletions=1 changed_lines=2 test_file_count=0 docs_file_count=0 config_file_count=0 code_file_count=1 other_file_count=0 max_file_changes=2 max_file_additions=1 max_file_deletions=1 change_scope=tiny
0119b33a1b51,title_length_band=band_2 title_word_band=band_2 title_question_band=zero body_length_band=band_2 body_word_band=band_2 body_structure=plain body_question_band=zero body_reference_band=band_1 body_mention_band=band_2 backport_term=present release_term=present test_term=absent bug_term=absent docs_term=absent security_term=absent title_length=51 title_word_count=12 title_question_count=0 title_digit_count=7 title_exclamation_count=0 title_colon_count=1 title_unique_word_count=12 body_length=473 body_word_count=73 body_question_count=0 body_link_count=0 body_mention_count=2 body_reference_count=1 body_digit_count=53 body_exclamation_count=0 body_colon_count=1 body_line_count=9 body_unique_word_count=52 body_code_block_count=0 body_checklist_item_count=0 body_heading_count=0 body_unique_character_count=48 base_channel=release_or_stable file_count=2 additions=29 deletions=2 changed_lines=31 test_file_count=0 docs_file_count=0 config_file_count=1 code_file_count=0 other_file_count=1 max_file_changes=29 max_file_additions=28 max_file_deletions=1 change_scope=small
012926173e0e,title_length_band=band_2 title_word_band=band_2 title_question_band=zero body_length_band=band_3 body_word_band=band_3 body_structure=plain body_question_band=zero body_reference_band=band_2 body_mention_band=band_1 backport_term=present release_term=present test_term=absent bug_term=present docs_term=absent security_term=absent title_length=64 title_word_count=10 title_question_count=0 title_digit_count=3 title_exclamation_count=0 title_colon_count=2 title_unique_word_count=9 body_length=1261 body_word_count=202 body_question_count=0 body_link_count=0 body_mention_count=1 body_reference_count=2 body_digit_count=14 body_exclamation_count=0 body_colon_count=6 body_line_count=19 body_unique_word_count=131 body_code_block_count=0 body_checklist_item_count=0 body_heading_count=0 body_unique_character_count=45 base_channel=release_or_stable file_count=4 additions=27 deletions=5 changed_lines=32 test_file_count=0 docs_file_count=0 config_file_count=0 code_file_count=2 other_file_count=2 max_file_changes=18 max_file_additions=14 max_file_deletions=4 change_scope=medium
0130f4ae5279,title_length_band=band_2 title_word_band=band_1 title_question_band=zero body_length_band=band_1 body_word_band=band_1 body_structure=plain body_question_band=zero body_reference_band=band_1 body_mention_band=zero backport_term=present release_term=absent test_term=absent bug_term=present docs_term=absent security_term=absent title_length=46 title_word_count=7 title_question_count=0 title_digit_count=0 title_exclamation_count=0 title_colon_count=0 title_unique_word_count=7 body_length=94 body_word_count=17 body_question_count=0 body_link_count=0 body_mention_count=0 body_reference_count=1 body_digit_count=4 body_exclamation_count=0 body_colon_count=0 body_line_count=3 body_unique_word_count=16 body_code_block_count=0 body_checklist_item_count=0 body_heading_count=0 body_unique_character_count=29 base_channel=release_or_stable file_count=2 additions=42 deletions=29 changed_lines=71 test_file_count=0 docs_file_count=0 config_file_count=0 code_file_count=2 other_file_count=0 max_file_changes=39 max_file_additions=21 max_file_deletions=18 change_scope=medium
015fdf38140b,title_length_band=band_2 title_word_band=band_2 title_question_band=zero body_length_band=band_2 body_word_band=band_1 body_structure=plain body_question_band=zero body_reference_band=zero body_mention_band=zero backport_term=absent release_term=present test_term=present bug_term=absent docs_term=absent security_term=absent title_length=66 title_word_count=10 title_question_count=0 title_digit_count=3 title_exclamation_count=0 title_colon_count=1 title_unique_word_count=9 body_length=144 body_word_count=20 body_question_count=0 body_link_count=0 body_mention_count=0 body_reference_count=0 body_digit_count=0 body_exclamation_count=0 body_colon_count=3 body_line_count=5 body_unique_word_count=17 body_code_block_count=0 body_checklist_item_count=0 body_heading_count=0 body_unique_character_count=29 base_channel=release_or_stable file_count=1 additions=2 deletions=2 changed_lines=4 test_file_count=1 docs_file_count=0 config_file_count=0 code_file_count=0 other_file_count=0 max_file_changes=4 max_file_additions=2 max_file_deletions=2 change_scope=tiny
01678d9d8814,title_length_band=band_1 title_word_band=band_1 title_question_band=zero body_length_band=band_3 body_word_band=band_3 body_structure=mixed body_question_band=band_2 body_reference_band=band_3 body_mention_band=band_2 backport_term=absent release_term=present test_term=present bug_term=absent docs_term=absent security_term=absent title_length=34 title_word_count=5 title_question_count=0 title_digit_count=1 title_exclamation_count=0 title_colon_count=1 title_unique_word_count=5 body_length=1293 body_word_count=167 body_question_count=2 body_link_count=3 body_mention_count=2 body_reference_count=5 body_digit_count=42 body_exclamation_count=3 body_colon_count=10 body_line_count=36 body_unique_word_count=101 body_code_block_count=0 body_checklist_item_count=3 body_heading_count=3 body_unique_character_count=56 base_channel=other_branch file_count=3 additions=42 deletions=1 changed_lines=43 test_file_count=0 docs_file_count=0 config_file_count=0 code_file_count=3 other_file_count=0 max_file_changes=28 max_file_additions=28 max_file_deletions=1 change_scope=small
0182fbe2f586,title_length_band=band_1 title_word_band=band_1 title_question_band=zero body_length_band=band_4 body_word_band=band_3 body_structure=headed body_question_band=zero body_reference_band=band_3 body_mention_band=zero backport_term=absent release_term=absent test_term=absent bug_term=present docs_term=present security_term=present title_length=15 title_word_count=5 title_question_count=0 title_digit_count=6 title_exclamation_count=0 title_colon_count=0 title_unique_word_count=4 body_length=2030 body_word_count=275 body_question_count=0 body_link_count=0 body_mention_count=0 body_reference_count=32 body_digit_count=131 body_exclamation_count=0 body_colon_count=1 body_line_count=30 body_unique_word_count=208 body_code_block_count=0 body_checklist_item_count=0 body_heading_count=3 body_unique_character_count=47 base_channel=other_branch file_count=152 additions=4791 deletions=791 changed_lines=5582 test_file_count=37 docs_file_count=0 config_file_count=8 code_file_count=107 other_file_count=0 max_file_changes=338 max_file_additions=338 max_file_deletions=132 change_scope=large
